,season,episode_number,cumulative_episode_number,title,air_date,rating_value,votes,description
63,6,7,64,Who Got Dee Pregnant?,2010-10-28,9.1,3600,"The gang gets a real 'scare' after Dee reveals she's pregnant, forcing the guys to recall their last hazy Halloween Party to determine if one of them might be the father."
64,6,8,65,The Gang Gets a New Member,2010-11-04,7.7,2500,"A blast from the past prompts the guys to expand membership, and Dee to re-consider her future."
65,6,9,66,Dee Reynolds: Shaping America's Youth,2010-11-11,8.9,2900,"Motivated by the drama teacher who inspired her, Dee takes a job as a substitute teacher and exposes her students to the culture of Paddy's with a field trip to see the Gang's take on the Lethal Weapon series: Lethal Weapon 5."
66,6,10,67,Charlie Kelly: King of the Rats,2010-11-18,8.3,2700,"When keeping the basement rodent-free drives Charlie to the brink, the gang decides to put the cynicism aside and throw a surprise party to cheer him up."
67,6,11,68,The Gang Gets Stranded in the Woods,2010-12-02,8.6,2800,"Things go awry as the Gang travels to Atlantic City for a charity benefit. While Frank, Dee and Mac try to survive in the woods, Dennis and Charlie hitch a ride to the city and have the night of their lives."
68,6,12,69,Dee Gives Birth,2010-12-09,8.5,2600,"Before Dee's baby arrives, The Gang tries to figure out who is the father by throwing a house party for all her former flings."
69,6,13,70,A Very Sunny Christmas,2010-12-09,9.2,5300,"Dennis and Dee decide to teach Frank a lesson ""A Christmas Carol""-style, and Mac and Charlie learn some shocking things about their childhood Christmas traditions."
70,7,1,71,Frank's Pretty Woman,2011-09-15,8.6,3200,"When Frank decides to marry a prostitute, the gang tries to uncover her heart of gold."
71,7,2,72,The Gang Goes to the Jersey Shore,2011-09-22,9.2,4100,"Dennis and Dee take the gang to their favorite childhood vacation spot, but things aren't quite how they remembered them."
72,7,3,73,Frank Reynolds' Little Beauties,2011-09-29,8.4,3100,The gang accidentally hosts a child beauty pageant.
73,7,4,74,Sweet Dee Gets Audited,2011-10-06,7.9,2600,"Dee faces an IRS audit over her claim that the baby she carried as a surrogate is her dependent, while the guys decide to run the bar in an unemotional, democratic manner rather than their typical method of shouting and personal attacks."
74,7,5,75,Frank's Brother,2011-10-13,6.8,3100,"When Frank's long lost brother Gino shows up at the bar, the two of them tell the gang about the jazz club they ran in the 1960s and 70s, and how they fell out over Shadynasty, a singer who was the love of both of their lives."
75,7,6,76,The Storm of the Century,2011-10-20,8.2,2800,"As a hurricane threatens Philadelphia, Mac, Dennis and Charlie go to a mall to buy supplies and check out the large breasted TV reporter broadcasting from there, while Frank and Dee prepare Paddy's, and its basement bunker, for the storm."
76,7,7,77,CharDee MacDennis: The Game of Games,2011-10-27,9.2,4100,"On a day of ultimate boredom and listlessness, the gang breaks out a homemade board game, created by Mac, Dee, Charlie, and Dennis."
77,7,8,78,The ANTI-Social Network,2011-11-03,8.3,2600,The gang's plan to use Facebook to promote Paddy's goes awry when they become obsessed with tracking down a man who shushed them while they were visiting a trendy new club.
78,7,9,79,The Gang Gets Trapped,2011-11-10,8.7,3100,"Inspired by Indiana Jones, Dennis, Dee, and Frank sneak into a house supposed to contain a rare vase, but become trapped when the owners return home early."
79,7,10,80,How Mac Got Fat,2011-11-17,7.7,2600,"During confession, Mac tells a priest how Paddy's sudden spell of success resulted in him becoming fat, and why the rest of the gang is to blame."
80,7,11,81,Thunder Gun Express,2011-12-01,8.8,3100,"A presidential visit to Philadelphia threatens to keep the gang from seeing a new action movie, leaving Dennis stuck in traffic, Frank stealing a boat, and Dee and Charlie prowling the city's sewers."
81,7,12,82,The High School Reunion,2011-12-08,8.2,2600,"The gang attends their high school reunion, at which Dee manages to ingratiate herself with the popular crowd, Charlie and Mac get picked on, and Dennis is ignored by everyone."
82,7,13,83,The High School Reunion Part 2: The Gang's Revenge,2011-12-15,8.5,2700,"Humiliated by the popular crowd at their high school reunion, the gang attempts to gain revenge, with predictably disastrous results."
83,8,1,84,Pop-Pop: The Final Solution,2012-10-11,7.8,2600,"Dennis and Dee's Nazi grandfather is wasting away in a hospital, and it's their choice whether to pull the plug or not. Meanwhile, Charlie and Mac go crazy trying to find a dog painting they think has a lot of value."
84,8,2,85,The Gang Recycles Their Trash,2012-10-18,8.2,2300,"While the city of Philadelphia's garbage men are on strike, Dennis, Mac, and Charlie decide to start a trash pick up business. And while being a big success, they must find out where to put this newly picked up trash."
85,8,3,86,The Maureen Ponderosa Wedding Massacre,2012-10-25,8.7,3200,The gang are the prime suspects for the McPoyle-Ponderosa wedding massacre.
86,8,4,87,Charlie and Dee Find Love,2012-11-01,8.9,3300,"After invading the world of the wealthy, Charlie and Dee find romance. Not to be left out, Dennis, Frank and Mac try to get in on the action."
87,8,5,88,The Gang Gets Analyzed,2012-11-08,9.0,3400,"When Dee gets asked by her therapist to bring in her so called 'issues,' Dee brings in the whole gang. And since they have all been called in, they have their own one on one therapy sessions, while many issues arise."
88,8,6,89,Charlie's Mom Has Cancer,2012-11-15,7.7,2500,"Charlie's Mom tells him she has cancer. The gang tries to help her out, each in their own way. Meanwhile, Frank thinks his mind may be slipping."
89,8,7,90,Frank's Back in Business,2012-11-29,8.1,2500,"Under threat of a hostile takeover, the board of Frank's old company calls him back to run the company. As before, Frank maximizes the company's product: money. Dennis, Mac and Dee find Phillies VIP tickets and find themselves in a business deal of their own."
90,8,8,91,Charlie Rules the World,2012-12-06,8.2,2600,"The gang starts playing an online video game and Charlie becomes obsessed with becoming the best player in the game. Meanwhile, Dennis is upset everyone else is playing the game all the time and not out enjoying the real world."
91,8,9,92,The Gang Dines Out,2012-12-13,9.0,3300,The gang turns up at the same restaurant for dinner at three different tables. They pretend not to notice they noticed they are noticing each other. Then the one-upmanship begins.
